id,text,prediction,predicted label,label
0,im finally done watching <SHOW_NAME> ,[0.09423723 0.7990453  0.01511076 0.09160667],1,0
1,gypsy the sinner ou <SHOW_NAME> qual ver primeiro,[1.685408e-03 2.299759e-04 9.980762e-01 8.490356e-06],2,2
2,hbos  <SHOW_NAME>  turns facebook logo into russian lettering  hollywood reporter <url>,[1.6572828e-03 2.2328897e-04 9.9811125e-01 8.2346060e-06],2,2
3,lighter shows schitts creek crazy ex girlfriend <SHOW_NAME> new girl the good place more dramatic unreal a favorite shameless big little lies mindhunter,[0.14202802 0.66670966 0.02992745 0.16133484],1,2
4,don’t forget about <SHOW_NAME> seasons 9 <url> …,[0.05424558 0.01150765 0.9309212  0.0033256 ],2,2
5,today is a <SHOW_NAME> and homework night,[0.0165824  0.97189    0.00113632 0.01039124],1,1
6,watching the originals bc i still have separation anxiety from <SHOW_NAME>,[0.8286544  0.05180125 0.08587862 0.03366562],0,1
7,ive just watched episode s04e03 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/izvyghvsfi,[9.9958891e-01 7.4689022e-05 3.3000324e-04 6.4191213e-06],0,0
8,i prefer mine on the rocks if you please southcircuit questthedoc @ <SHOW_NAME> georgia <url>,[0.06126162 0.01480152 0.92130315 0.00263367],2,2
9,super nintendo gangster music and <SHOW_NAME>  things that are tight for 500 alex,[2.8432351e-02 6.1503230e-03 9.6471524e-01 7.0213812e-04],2,1
10,i can’t cope how lazy i am after the holidayright now i should be recording musicallys and editing youtube video instead i’m watching vampire diaries aa 😂,[0.267317   0.2640995  0.09074303 0.3778405 ],3,1
11,the rains of castanere  games of thrones season 4 soundtrack  sigur ros,[0.1681396  0.05051785 0.7649385  0.01640416],2,2
12,starting brooklyn nine nine has been the smartest decision i’ve made all year,[0.03916353 0.92930865 0.00393959 0.02758822],1,1
13,can u find the hidden cat walkingdead,[1.2959359e-02 1.9568542e-03 9.8478264e-01 3.0114205e-04],2,2
14,<SHOW_NAME>  a new frontier [staffel 3] 14 offene karten <url> via <HANDLE>,[2.6799045e-03 3.6283440e-04 9.9693775e-01 1.9451923e-05],2,2
15,<SHOW_NAME>  season 2 will have 8 episodes two of them 2 hours long <url> … via <HANDLE> <SHOW_NAME>,[0.37845787 0.18255931 0.31551903 0.12346374],0,2
16,thanks to shelton of <SHOW_NAME> i know what “pro se” means lol <url> …,[0.25564986 0.08037619 0.6210369  0.04293705],2,0
17,i dead cried so hard at the series finale of <SHOW_NAME> that my mascara is on my forehead,[9.4831726e-03 9.8366416e-01 5.4182432e-04 6.3107666e-03],1,1
18,he watches one season of <SHOW_NAME> and starts calling nao moon of my life,[0.23736675 0.45352325 0.06402077 0.24508928],1,1
19,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
20,which celebrity or band has the worst fan base — from what ive seen probably the <SHOW_NAME> cast hella toxic fans insulting everyone be <url> …,[0.22676075 0.24654892 0.08040167 0.44628862],3,3
21,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
22,<SHOW_NAME> ready player one sweepstakes rules  kmsptv <url>,[4.2277798e-03 6.0960173e-04 9.9512058e-01 4.1939529e-05],2,2
23,as much as i love <SHOW_NAME> who decided to put elena in this wig in the last episode,[0.44233736 0.19797191 0.10353944 0.25615126],0,3
24,sense 8 sherlock orange is the new black prision break <SHOW_NAME> black mirror,[0.06520694 0.01281391 0.91693705 0.00504211],2,2
25,i really just wanna lay in bed all day cuddled up with my blanket eating ice cream watching <SHOW_NAME> and cry,[9.0361135e-03 9.8429906e-01 5.1193195e-04 6.1528399e-03],1,1
26,this season of <SHOW_NAME> has been making me feel so miserable,[1.3851620e-02 9.7631913e-01 8.9729356e-04 8.9319926e-03],1,1
27,<SHOW_NAME> is basically porn tv serie,[0.90239966 0.0330921  0.05254946 0.01195867],0,3
28,which <SHOW_NAME> character are you just curious,[0.8472552  0.04279415 0.09011754 0.01983313],0,0
29,<awesome stone mountain homes for sale for $156 00 or trade> move up to any home and well buy yours* for current pricing or private viewing call 4703260900 *conditions apply call for details forsale fortrade gahomes georgiahomes <SHOW_NAME> <SHOW_NAME> homes realestatepic.twitter.com/sn5bgbn0xp,[1.5326462e-03 1.6158402e-04 9.9830073e-01 5.0712488e-06],2,2
30,i sing along every single time ,[0.1889866  0.58068895 0.04509254 0.18523195],1,0
31,i did the exact same thing with sophie turner 2 years ago am i acc destined to just stare at the <SHOW_NAME> cast and do nothin but breathe heavily in their general direction ,[0.37991327 0.2419106  0.17096546 0.20721078],0,2
32,that’s really great,[0.02163089 0.9632971  0.00163155 0.01344035],1,2
33,<SHOW_NAME> tour for australian travel agents <url> …,[1.8568266e-03 2.5114682e-04 9.9788195e-01 1.0054469e-05],2,2
34,final fantasy x was referenced in the popular sitcom <SHOW_NAME> ,[0.22693211 0.06522427 0.6825     0.02534368],2,0
